City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
29,Mar Del Plata,AR,-38.0023,-57.5575,55.87,92,100,5.75
30,Coihaique,CL,-45.5752,-72.0662,54.21,82,100,5.75
31,Chuy,UY,-33.6971,-53.4616,62.38,94,100,9.57
32,Souillac,MU,-20.5167,57.5167,81.55,57,1,4.72
33,Arnedo,ES,42.2167,-2.1,38.7,65,100,5.32
34,San Jose,US,37.3394,-121.895,56.82,53,0,1.01
35,Georgetown,MY,5.4112,100.3354,86.9,76,20,5.75
36,Bouna,CI,9.2667,-3.0,77.41,21,8,5.91
37,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,62.17,88,82,5.93
38,Ust-Dzheguta,RU,44.0834,41.9763,63.7,29,100,2.62
39,Mansoa,GW,12.0733,-15.3189,70.21,45,35,5.26
40,Hithadhoo,MV,-0.6,73.0833,81.82,72,39,12.06
41,Saquena,PE,-4.6667,-73.5167,73.53,97,20,2.46
42,Cambridge,CA,43.3601,-80.3127,34.14,92,52,3.76
43,Saint-Philippe,RE,-21.3585,55.7679,83.1,75,57,8.86
44,Khor,RU,47.8861,134.9464,20.71,53,5,11.92
45,Paamiut,GL,61.994,-49.6678,20.35,81,92,16.71
46,Upernavik,GL,72.7868,-56.1549,12.29,94,96,7.34
47,Husavik,IS,66.0449,-17.3389,34.83,86,2,11.01
48,Krutinka,RU,56.0055,71.5113,11.73,87,92,17.34
49,Lichinga,MZ,-13.3128,35.2406,78.49,47,13,7.58
50,Jizan,SA,17.3333,42.6667,88.74,30,0,4.43
51,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,83,20,9.22
52,Sokoto,NG,13.0609,5.239,75.42,17,94,16.37
53,Faya,SA,18.3851,42.4509,64.51,42,0,1.57
54,Balykshi,KZ,47.0667,51.8667,46.4,100,40,4.47
55,Hermanus,ZA,-34.4187,19.2345,75.79,59,93,4.72
56,Yauya,PE,-8.9833,-77.3,48.54,81,100,3.27
57,Shamkhal,RU,43.0596,47.3373,57.18,75,100,2.55
58,Klaksvik,FO,62.2266,-6.589,41.92,54,30,28.05
59,Ouadda,CF,8.0777,22.4007,88.52,21,84,6.38
60,Nanortalik,GL,60.1432,-45.2371,30.6,83,100,7.56
61,Talnakh,RU,69.4865,88.3972,-18.17,97,100,0.56
62,Qaanaaq,GL,77.484,-69.3632,-0.85,79,100,4.29
63,Zharkent,KZ,44.1628,80.0,36.1,98,100,2.08
64,Cesis,LV,57.3119,25.2746,24.71,88,100,5.44
65,Channel-Port Aux Basques,CA,47.5702,-59.1367,34.18,62,100,21.39
66,Ostersund,SE,63.1792,14.6357,25.25,100,100,5.75
67,Tubuala,PA,9.5167,-79.0333,79.05,87,100,10.45
68,Aksu,CN,41.1231,80.2644,47.98,19,61,1.36
69,Victoria,HK,22.2855,114.1577,77.38,84,100,11.01
70,Iquique,CL,-20.2208,-70.1431,62.64,79,51,4.07
71,Zavyalovo,RU,54.5053,82.4484,21.38,76,100,16.93
72,Krasnoselkup,RU,65.7,82.4667,-18.47,91,28,9.91
73,Tripoli,LY,32.8752,13.1875,61.9,42,0,24.38
74,Soyo,AO,-6.1349,12.3689,78.46,79,75,4.25
75,Mizdah,LY,31.4451,12.9801,52.7,39,0,17.58
76,Novyy Urengoy,RU,66.0833,76.6333,-18.67,97,24,9.89
77,Soni,TZ,-4.85,38.3667,76.57,57,82,0.6
78,Hambantota,LK,6.1241,81.1185,84.63,68,58,13.82
79,Tasiilaq,GL,65.6145,-37.6368,37.56,93,100,24.76
80,Abancay,PE,-13.6339,-72.8814,58.84,88,100,2.15
81,Wagar,SD,16.1525,36.2032,87.87,35,0,7.92
